AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Subtribe	Genus	SubGenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUID	GSDNameGUID
1				Coleoptera		Tenebrionidae	Hypomelina	Argenticrinis		lossowi  	Koch, 1952	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
2				Coleoptera		Tenebrionidae	Hypomelina	Bombocnodulus		crinicollis	Haag-Rutenberg, 1879	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
3				Coleoptera		Tenebrionidae	Hypomelina	Bombocnodulus		dollmani	Penrith, 1986	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
4				Coleoptera		Tenebrionidae	Hypomelina	Bombocnodulus		longantennatus	Penrith, 1986	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
5				Coleoptera		Tenebrionidae	Hypomelina	Bombocnodulus		torridus	Penrith, 1986	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
6				Coleoptera		Tenebrionidae	Hypomelina	Bombocnodulus		wittei	Penrith, 1986	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
7				Coleoptera		Tenebrionidae	Hypomelina	Brinckia		australis	Penrith, 1986	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
8				Coleoptera		Tenebrionidae	Hypomelina	Brinckia		debilis	Péringuey, 1899	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
9				Coleoptera		Tenebrionidae	Hypomelina	Brinckia		delicata	Penrith, 1986	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
10				Coleoptera		Tenebrionidae	Hypomelina	Brinckia		insularis	Péringuey, 1908	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
11				Coleoptera		Tenebrionidae	Hypomelina	Brinckia		oblonga	Thunberg, 1787	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
12				Coleoptera		Tenebrionidae	Hypomelina	Brinckia		oograbiensis	Koch, 1962b	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
13				Coleoptera		Tenebrionidae	Hypomelina	Brinckia		serratina	Koch, 1962b	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
14				Coleoptera		Tenebrionidae	Hypomelina	Brinckia		vaga	Péringuey, 1908	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
15				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		basalis	Haag-Rutenberg, 1871a	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
16				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		inaequalis	Solier, 1843	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
17				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		interstitialis	Haag-Rutenberg, 1871a	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
18				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		obliquatus	Solier, 1843	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
19				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		obliteratus	Solier, 1843	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
20				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		peringueyi	Gebien 1910b	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
21				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		peronatus	Germar, 1823	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
22				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		profugus	Péringuey, 1899	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
23				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		reflexicollis	Haag-Rutenberg, 1871a	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
24				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		reflexus	Haag-Rutenberg, 1871a	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
25				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		servus	Péringuey, 1899	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
26				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		setosocostatus	Haag-Rutenberg, 1871a	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
27				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		villosocostatus	Solier, 1843	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
28				Coleoptera		Tenebrionidae	Hypomelina	Hypomelus		vulpinus	Haag-Rutenberg, 1873	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
29				Coleoptera		Tenebrionidae	Hypomelina	Iugidorsum		cumstriis	Louw, 1979	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
30				Coleoptera		Tenebrionidae	Hypomelina	Iugidorsum		sinestriis	Louw, 1979	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
31				Coleoptera		Tenebrionidae	Hypomelina	Sulcipectus		cumcavus	Louw, 1979	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
32				Coleoptera		Tenebrionidae	Hypomelina	Sulcipectus		levis	Louw, 1979	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
33				Coleoptera		Tenebrionidae	Hypomelina	Trachynotidus		alstoni	Péringuey, 1885	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
34				Coleoptera		Tenebrionidae	Hypomelina	Trachynotidus		angulicollis	Haag-Rutenberg, 1871a	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
35				Coleoptera		Tenebrionidae	Hypomelina	Trachynotidus		cognatus	Péringuey, 1899	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
36				Coleoptera		Tenebrionidae	Hypomelina	Trachynotidus		cruentus	Péringuey, 1908	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
37				Coleoptera		Tenebrionidae	Hypomelina	Trachynotidus		eximius	Péringuey, 1899	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
38				Coleoptera		Tenebrionidae	Hypomelina	Trachynotidus		gravis	Gemminger 1870	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
39				Coleoptera		Tenebrionidae	Hypomelina	Trachynotidus		rufozonatus	Fairmaire, 1888	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
40				Coleoptera		Tenebrionidae	Hypomelina	Trachynotidus		thoreyi	Haag-Rutenberg, 1871b	Accepted name	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
41				Coleoptera		Tenebrionidae	Hypomelina	Triangulipenna		lacuna	Louw, 1979	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
42				Coleoptera		Tenebrionidae	Hypomelina	Uniungulum		hoeschi	Koch, 1962b	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
57				Coleoptera		Tenebrionidae	Molurina	Amiantus		browni	Haag-Rutenberg, 1871a	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
58				Coleoptera		Tenebrionidae	Molurina	Amiantus		connexus	Haag-Rutenberg, 1871a	Accepted name, basionym	Accepted name	0	0	1	Terrestrial		Kamiński M.J.	2019			
